Game,MoveNumber,Move,TimeRemaining,EvalAfter,EvalChange,PlayerColor
6.0,64.0,Ng4,0:02:55,-0.11,0.08,Black
6.0,66.0,Bxc5,0:02:52,-5.55,-5.4399999999999995,Black
6.0,68.0,Nxe3,0:02:51,-5.57,-0.020000000000000462,Black
6.0,70.0,O-O,0:02:48,-5.41,0.16000000000000014,Black
6.0,72.0,Bxg4,0:02:47,-5.79,-0.3799999999999999,Black
6.0,74.0,Qxd3,0:02:37,-5.76,0.03000000000000025,Black
6.0,76.0,e4,0:02:31,-6.28,-0.5200000000000005,Black
6.0,78.0,Qxc4,0:02:18,-6.21,0.07000000000000028,Black
6.0,80.0,Qe6,0:02:10,-6.46,-0.25,Black
6.0,82.0,h6,0:02:03,-6.5,-0.040000000000000036,Black
6.0,84.0,Rfd8,0:01:54,-6.81,-0.3099999999999996,Black
6.0,86.0,h5,0:01:48,-7.28,-0.47000000000000064,Black
6.0,88.0,Qxh3,0:01:41,-9.36,-2.079999999999999,Black
6.0,90.0,Kh7,0:01:36,-9.77,-0.41000000000000014,Black
6.0,92.0,Kh1,0:02:17,-inf,-inf,Black
,,,,,,
7.0,2.0,Nf6,0:03:00,0.19,,Black
7.0,4.0,g6,0:02:59,0.06,-0.13,Black
7.0,6.0,Bg7,0:02:58,0.18,0.12,Black
7.0,8.0,d6,0:02:57,0.08,-0.09999999999999999,Black
7.0,10.0,Nc6,0:02:56,0.04,-0.04,Black
7.0,12.0,O-O,0:02:55,0.49,0.45,Black
7.0,14.0,Nxe5,0:02:52,0.6,0.10999999999999999,Black
7.0,16.0,Nxc6,0:02:51,0.58,-0.020000000000000018,Black
7.0,18.0,O-O,0:02:50,0.49,-0.08999999999999997,Black
7.0,20.0,Bg3,0:02:47,1.16,0.6699999999999999,Black
7.0,22.0,h3,0:02:40,-1.48,-2.6399999999999997,Black
7.0,24.0,h3,0:02:36,0.0,1.48,Black
7.0,26.0,Re8,0:02:31,1.51,1.51,Black
7.0,28.0,Rfe1,0:02:27,0.48,-1.03,Black
7.0,30.0,b3,0:01:56,1.06,0.5800000000000001,Black
7.0,32.0,Bf6,0:01:47,1.49,0.42999999999999994,Black
7.0,34.0,Qc5+,0:01:46,1.79,0.30000000000000004,Black
7.0,36.0,Rad1,0:01:55,0.9,-0.89,Black
7.0,38.0,Kh6,0:01:44,2.51,1.6099999999999999,Black
7.0,40.0,fxg4,0:01:43,2.78,0.27,Black
7.0,42.0,h4,0:01:37,2.07,-0.71,Black
7.0,44.0,Be3),0:00:32,-inf,-inf,Black
7.0,46.0,Rh7+,0:01:33,7.18,inf,Black
7.0,48.0,Bh6+,0:01:30,7.89,0.71,Black
7.0,50.0,Rg2+,0:01:29,8.16,0.27000000000000046,Black
7.0,52.0,Kg5,0:01:27,8.17,0.009999999999999787,Black
7.0,54.0,Rxh6+,0:01:07,6.95,-1.2199999999999998,Black
7.0,56.0,Bf7,0:01:01,5.69,-1.2599999999999998,Black
7.0,58.0,Be3,0:00:58,6.65,0.96,Black
7.0,60.0,Kg5,0:00:56,11.24,4.59,Black
7.0,62.0,Kg6,0:00:05,-inf,-inf,Black
7.0,64.0,Rg7+,0:00:05,-inf,,Black
7.0,66.0,Rd7,0:00:50,7.61,inf,Black
7.0,68.0,Bg3,0:00:49,7.55,-0.0600000000000005,Black
7.0,70.0,Bd6,0:00:47,7.63,0.08000000000000007,Black
7.0,72.0,Kh4,0:00:46,7.57,-0.05999999999999961,Black
7.0,74.0,Bc5,0:00:45,7.51,-0.0600000000000005,Black
7.0,76.0,Bd6,0:00:45,7.61,0.10000000000000053,Black
7.0,78.0,a5,0:00:43,7.97,0.35999999999999943,Black
